location,latitude,longitude
Jamaica,18.1850507,-77.3947693
Nicaragua,12.6090157,-85.2936911
Togo,8.7800265,1.0199765
Palau,42.5717989,2.9600905
Slovakia,48.7411522,19.4528646
Georgia,32.3293809,-83.1137366
Germany,51.1638175,10.4478313
Singapore,1.357107,103.8194992
South Georgia and South Sandwich Islands,-54.8432857,-35.8090698
Lesotho,-29.6039267,28.3350193
Iran,32.6475314,54.5643516
Ukraine,49.4871968,31.2718321
Seychelles,-4.6574977,55.4540146
South Sudan,7.8699431,29.6667897
Denmark,55.670249,10.3333283
Northern Marianas,15.1753648,145.7379338
Antarctica,-72.8438691,0.0
Aruba,12.5013629,-69.9618475
"United States, Oregon",43.9792797,-120.737257
Algeria,28.0000272,2.9999825
Central African Republic,7.0323598,19.9981227
"United States, Virginia",37.1232245,-78.4927721
Cape Verde Islands,17.05552855,-25.172304911363636
"United States, Alaska",64.4459613,-149.680909
Egypt,26.2540493,29.2675469
Tanzania,-6.5247123,35.7878438
Dem Rep of Congo,,
Mali,16.3700359,-2.2900239
"United States, New Hampshire",43.4849133,-71.6553992
Bonaire,12.167,-68.28764385602938
"United States, Nevada",39.5158825,-116.853722
Scotland,56.7861112,-4.1140518
Nigeria,9.6000359,7.9999721
Venezuela,8.0018709,-66.1109318
Ascension Island,-7.942,-14.357894725000001
Chile,-31.7613365,-71.3187697
"United States, West Virginia",38.4758406,-80.8408415
Luxembourg,49.6112768,6.129799
Sint Maarten,18.0423736,-63.0549948
Guyana,4.8417097,-58.6416891
"United States, Maine",45.709097,-68.8590201
Niger,17.7356214,9.3238432
Netherlands,52.2434979,5.6343227
Abkhazia,43.1500226,41.2299786
Kenya,1.4419683,38.4313975
Belarus,53.4250605,27.6971358
Hungary,47.1817585,19.5060937
"United States, South Dakota",44.6471761,-100.348761
"United States, Hawaii",19.593801499999998,-155.42837009716908
"United States, Nebraska",41.7370229,-99.5873816
Cameroon,4.6125522,13.1535811
Iraq,33.0955793,44.1749775
Malta,35.8885993,14.4476911
Trinidad and Tobago,10.7466905,-61.0840075
Greece,38.9953683,21.9877132
"Canada, Manitoba",55.001251,-97.001038
Solomon Islands,-8.7053941,159.1070693851845
Cayman Islands,19.703182249999998,-79.9174627243246
"United States, Pennsylvania",40.9699889,-77.7278831
Bouvet Island,-54.4202012,3.3593786
Sweden,59.6749712,14.5208584
Monaco,43.7323492,7.4276832
"Canada, Ontario",50.000678,-86.000977
"United States, Washington",38.8950368,-77.0365427
Costa Rica,10.2735633,-84.0739102
Sri Lanka,7.5554942,80.7137847
Ghana,8.0300284,-1.0800271
Malaysia,4.5693754,102.2656823
Argentina,-34.9964963,-64.9672817
"United States, North Carolina",35.6729639,-79.0392919
Estonia,58.7523778,25.3319078
Bulgaria,42.6073975,25.4856617
Reunion,-21.1309332,55.5265771
Tibet,29.8556443,90.8749807
Micronesia,8.6062347,151.832744331612
"United States, Wisconsin",44.4308975,-89.6884637
Kosovo,42.5869578,20.9021231
Mayotte,-12.823048,45.1520755
Afghanistan,33.7680065,66.2385139
San Marino,43.9458623,12.458306
Benin,9.5293472,2.2584408
French Guiana,4.0039882,-52.999998
Malvinas,-27.46816945,-59.0090905640036
"United States, Rhode Island",41.7962409,-71.5992372
Mongolia,46.8250388,103.8499736
"United Kingdom, Scotland",56.7861112,-4.1140518
Cambodia,12.5433216,104.8144914
Dominica,15.4113138,-61.3653618
Antigua & Barbuda,17.2234721,-61.9554608
Canada,61.0666922,-107.991707
Heard and McDonald Islands,-53.0487916,73.21964941761047
Turkmenistan,39.3763807,59.3924609
Guinea,10.7226226,-10.7083587
Cuba,23.0131338,-80.8328748
"United States, Alabama",33.2588817,-86.8295337
Svalbard and Jan Mayen Islands,,
Montserrat,16.7417041,-62.1916844
Liechtenstein,47.1416307,9.5531527
Montenegro,-29.6826112,-51.4687455
Curaçao,12.1176488,-68.9309263
Grenada,12.1360374,-61.6904045
"Canada, Saskatchewan",55.5321257,-106.141224
"United States, Tennessee",35.7730076,-86.2820081
Albania,5.7587654,-73.9151617
Falkland Islands,-51.9492937,-59.5383657
Saint Helena,-15.9690718,-5.71295
Aotearoa,-41.5000831,172.8344077
Angola,-11.8775768,17.5691241
"United States, Missouri",38.7604815,-92.5617875
Australia,-24.7761086,134.755
"United States, Arizona",34.395342,-111.763275
"United States, Florida",27.7567667,-81.4639835
China,35.0000663,104.999955
Latvia,56.8406494,24.7537645
Gibraltar,36.1285933,-5.3474761
South Ossetia,42.3476344,44.0979465
"United States, Indiana",40.3270127,-86.1746933
Austria,47.59397,14.12456
Marshall Islands,8.230816999999998,167.7953223704529
Tajikistan,38.6281733,70.8156541
